timestamp,latitude,longitude,altitude,easting,northing,zone_number,zone_letter
1743804603904463840,-12.015770549809535,-77.05320187227476,142.14439527675904,276459.31884067995,8670868.394716755,18,L
1743804603999961792,-12.015773301741174,-77.0532084038948,142.1371792417358,276458.60970837786,8670868.084923925,18,L
1743804604111039328,-12.01577609862556,-77.05321497532658,142.1319635341844,276457.8962770378,8670867.770124983,18,L
1743804604201999584,-12.015778931846492,-77.05322155488523,142.12367300579535,276457.1819905584,8670867.451299014,18,L
1743804604296962656,-12.015781147049463,-77.05322874904367,142.129379899588,276456.40025334293,8670867.200353071,18,L
1743804604391232608,-12.015784001130323,-77.05323529167956,142.12343065040798,276455.6900056342,8670866.87924906,18,L
1743804604491662528,-12.015786855034797,-77.05324183760922,142.1180696740559,276454.97939904366,8670866.55816187,18,L
1743804604601111040,-12.015789728754578,-77.05324841617671,142.11431856877172,276454.2652540129,8670866.234855695,18,L
1743804604705013920,-12.015792644300435,-77.05325503295511,142.11039595471033,276453.5469817167,8670865.906890653,18,L
1743804604813863424,-12.015795821394377,-77.05326158175383,142.10860808988676,276452.8363295703,8670865.550042262,18,L
1743804604895663456,-12.015798850367558,-77.0532681763256,142.10450209874298,276452.1205696517,8670865.20954524,18,L
1743804605008382592,-12.015801930133666,-77.05327474714078,142.09784488865034,276451.40743918926,8670864.863447603,18,L
1743804605107495328,-12.015805089672083,-77.05328131232756,142.09037051758827,276450.69498764817,8670864.508528234,18,L
1743804605191159424,-12.015808280284746,-77.05328790712318,142.0808322504263,276449.9793368776,8670864.150146615,18,L
1743804605306035040,-12.015810438801005,-77.05329427637164,142.03539872053653,276449.2873997203,8670863.906143073,18,L
1743804605402836064,-12.015813724367373,-77.05330078451554,142.02858549682227,276448.5812652403,8670863.537325848,18,L
1743804605501804544,-12.015816983163385,-77.05330728748342,142.02169981503386,276447.8756724235,8670863.171474777,18,L
1743804605598586752,-12.015820262591873,-77.05331379971474,142.0174745445521,276447.1690877129,8670862.803333305,18,L
1743804605699683200,-12.015823587041588,-77.05332031574612,142.01692121358838,276446.4621263099,8670862.43020742,18,L
1743804605827565184,-12.015826932553054,-77.05332686242865,142.01649385935127,276445.75184388005,8670862.054726252,18,L
1743804605890385568,-12.015829857549265,-77.05333369696032,141.9942323548496,276445.00986251404,8670861.725538332,18,L
1743804606010653952,-12.01583333584455,-77.05334025790414,141.98723971546454,276444.2981364771,8670861.335353864,18,L
1743804606125620288,-12.015836847465874,-77.05334680680441,141.97854363790972,276443.5877497253,8670860.941491857,18,L
1743804606207084000,-12.01584039385676,-77.05335330151028,141.96839544546208,276442.88329439657,8670860.543826865,18,L
1743804606306528192,-12.015843967427582,-77.05335975270123,141.959470027738,276442.1836010531,8670860.143189944,18,L
1743804606391539680,-12.015846658709014,-77.05336554498696,141.97019611109982,276441.5549450817,8670859.84070825,18,L
1743804606483917984,-12.015850304586213,-77.05337197998372,141.965412185492,276440.85707530065,8670859.432084229,18,L
1743804606590244992,-12.015853988836918,-77.0533784372888,141.9621945915135,276440.1568074733,8670859.019196272,18,L
1743804606709926720,-12.015857699673296,-77.05338489653553,141.956471225934,276439.4563501418,8670858.603365187,18,L
1743804606825283264,-12.0158614680615,-77.05339134154089,141.9494143893426,276438.7574914865,8670858.181177925,18,L
1743804606898086944,-12.015864295091335,-77.05339837340185,141.95747713735742,276437.9939368462,8670857.862668717,18,L
1743804607008465856,-12.015868072912328,-77.05340484283168,141.94704589109566,276437.2924257714,8670857.43941788,18,L
1743804607109793728,-12.015871865869554,-77.05341130855932,141.9364040420574,276436.5913304498,8670857.01449531,18,L
1743804607201029792,-12.015875691808734,-77.05341773839733,141.92771357521843,276435.8941713746,8670856.585952656,18,L
1743804607297677120,-12.015879540580661,-77.0534241295456,141.92119460273827,276435.2012451462,8670856.154915143,18,L
1743804607389443392,-12.015883439291105,-77.05343144263371,141.91071829030153,276434.40794523986,8670855.717602707,18,L
1743804607494338368,-12.015887342432462,-77.05343792096232,141.90408946098773,276433.705568528,8670855.280478653,18,L
1743804607606369312,-12.015891297005718,-77.05344441056538,141.89769328984806,276433.0020063345,8670854.837654807,18,L
1743804607696072992,-12.01589524730178,-77.05345087878779,141.8898085549707,276432.3007693448,8670854.395321567,18,L
1743804607801467968,-12.015899221872983,-77.05345727219195,141.8816036781683,276431.6077014032,8670853.950363247,18,L
1743804607893700800,-12.015902783268428,-77.05346386421172,141.9145526637024,276430.8926596205,8670853.550958643,18,L
1743804608000064640,-12.015906767683774,-77.05347021667467,141.9061528658667,276430.2040590416,8670853.104944378,18,L
